Time	AcqTime	AMB_Humidity	AMB_Pressure	AMB_Temperature	GPS_Altitude	GPS_GroundSpeed	GPS_Latitude	GPS_Longitude	GPS_ModeIndicator	GPS_Quality	GPS_Satellites	GPS_Separation	GPS_TrueCourse	GPS_UTCTime	OBD_Absolute_load_value_(PID_67)	OBD_Accelerator_Pedal_Position_D_(PID_73)	OBD_Calculated_engine_load_value_(PID_4)	OBD_Engine_Coolant_Temperature_(PID_5)	OBD_Vehicle_Speed_(PID_13)	OBD_Engine_RPM_(PID_12)
ms	s	%	mbar	°C	m	km/h	deg	deg	-	-	-	m	deg	hhmmss	%	%	%	°C	km/h	rpm
0	701,995	17,6867	974,2339	16,2745	375,9	0,2	47,0691	15,4082	0	2	7	43,8	234,2	112023	29,415	14,5077	25,493	32	0	833
500	702,495	17,6627	973,9939	16,188	375,9	0,2	47,0691	15,4082	0	2	7	43,8	234,2	112023	30,5916	14,5077	26,2774	33	0	824,5
1000	702,995	17,6627	974,4739	16,2169	375,9	0,2	47,0691	15,4082	0	2	7	43,8	234,2	112024	30,1994	14,5077	26,2774	33	0	818
1500	703,495	17,6627	974,2339	16,2169	375,9	0,1	47,0691	15,4082	0	2	7	43,8	234,2	112024	30,5916	14,5077	25,8852	33	0	822
2000	703,995	17,6388	974,2339	16,2741	375,9	0,1	47,0692	15,4082	0	2	6,0059	43,8	234,2	112024,9941	30,5916	14,5077	26,2751	33	0	818,0238
2500	704,495	17,6625	974,2339	16,2743	375,9	0,1	47,0692	15,4082	0	2	6	43,8	234,2	112025,002	30,5916	14,5077	26,2774	33,002	0	818,0098
3000	704,995	17,5427	974,2334	16,188	375,9	0,1	47,0692	15,4082	0	2	6	43,8	234,2	112026	30,5916	14,5077	26,2774	34	0	822,999
3500	705,495	17,5667	973,9939	16,188	375,9	0,1	47,0692	15,4082	0	2	6	43,8	234,2	112026	30,5916	14,5077	26,2774	34	0	822,5
4000	705,995	17,5667	974,4739	16,188	375,9	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112027	30,1994	14,5077	25,886	34	0	816,9863
4500	706,495	17,5667	974,4734	16,188	375,9	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112027,002	30,2002	14,5077	26,2774	34	0	810
5000	706,995	17,5667	974,2343	16,1592	375,9	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112028	30,5924	14,5077	26,2782	34	0	810,0166
5500	707,495	17,5667	974,4739	16,1592	375,9	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112028	30,9838	14,5077	26,6696	34	0	818,5
6000	707,995	17,5427	974,2339	16,2169	375,8	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112029	30,5916	14,5077	26,2774	34	0	814
6500	708,495	17,5907	973,9939	16,2169	375,8	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112029	30,5916	14,5077	26,2774	34	0	807
7000	708,995	17,5667	974,2339	16,188	375,8	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112030	30,5916	14,5077	26,2774	34	0	822,5
7500	709,495	17,5667	973,9939	16,188	375,8	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112030	30,1994	14,5077	26,2774	34	0	822,5
8000	709,995	17,5667	974,2339	16,2169	375,8	0,1	47,0692	15,4082	0	2	7	43,8	234,2	112031	30,1994	14,5077	25,8852	34	0	822
8500	710,495	17,5667	974,2339	16,2457	375,8	0	47,0692	15,4082	0	2	7	43,8	234,2	112031	32,9448	14,5077	26,2774	34	0	845
9000	710,995	17,5427	973,9939	16,2169	375,7	0	47,0692	15,4082	0	2	7	43,8	234,2	112032	38,8278	14,5077	31,376	34	0	1083,5
9500	711,495	17,5667	974,2339	16,2169	375,7	0	47,0692	15,4082	0	2	7	43,8	234,2	112032	38,8278	17,6445	29,415	34	0	1121
10000	711,995	17,5667	974,4739	16,2169	375,7	0	47,0692	15,4082	0	2	7	43,8	234,2	112033	38,4356	18,4287	29,415	34	0	1121
10500	712,495	17,5667	973,9939	16,188	375,7	0	47,0692	15,4082	0	2	7	43,8	234,2	112033	45,4952	20,3892	33,7292	34	0	1116
11000	712,995	17,5667	973,9939	16,188	375,6	0	47,0692	15,4082	0	2	6	43,8	234,2	112034	56,4768	20,7813	28,6306	34	0	1171
11500	713,495	17,5907	974,2339	16,188	375,6	0,1	47,0692	15,4082	0	2	6	43,8	234,2	112034	50,986	18,8208	36,8668	34	1	1233,5
12000	713,995	17,5667	974,2339	16,188	375,6	1,1	47,0692	15,4082	0	2	7	43,8	84,7	112035	50,986	18,8208	47,4562	34	1	1186
12500	714,495	17,5187	973,9939	16,188	375,6	1,1	47,0692	15,4082	0	2	7	43,8	84,7	112035	67,4584	18,8208	47,4562	34	3	1186
13000	714,995	17,4947	973,9939	16,188	375,5	3	47,0692	15,4082	0	2	7	43,8	84,7	112036	57,6534	18,8208	40,7888	34	4	1221,5
13500	715,495	17,4947	974,4739	16,188	375,5	3	47,0692	15,4082	0	2	7	43,8	84,7	112036	62,752	18,8208	48,6328	34	6	1210
14000	715,995	17,4947	973,9939	16,188	375,5	5,5	47,0692	15,4083	0	2	7	43,8	83,4	112037	62,3598	18,8208	49,025	34	8	1232
14500	716,495	17,4947	974,2339	16,1592	375,5	5,5	47,0692	15,4083	0	2	7	43,8	83,4	112037	62,3598	18,8208	52,5548	35	10	1135
15000	716,995	17,4947	974,4739	16,188	375,5	5,5	47,0692	15,4083	0	2	7	43,8	83,4	112038	64,713	18,8208	52,5548	35	10	1135
15500	717,495	17,5187	974,4739	16,188	375,5	8,6	47,0692	15,4083	0	2	7	43,8	81,7	112038	33,337	19,9971	27,8462	35	12	1241,5
16000	717,995	17,4947	974,2339	16,2169	375,5	8,6	47,0692	15,4083	0	2	7	43,8	81,7	112039	27,8462	21,9576	20,7866	35	12	1304,5
16500	718,495	17,5187	973,9939	16,2169	375,5	12	47,0692	15,4083	0	2	7	43,8	82,1	112039	27,8462	21,9576	19,2178	35	12	1305,5
17000	718,995	17,4227	974,4739	16,188	375,5	12	47,0692	15,4084	0	2	6	43,8	82,1	112040	27,8462	24,7023	19,61	35	13	1320,5
17500	719,495	17,3987	974,2343	16,2168	375,5	12,7984	47,0692	15,4084	0	2	6	43,8	82,6988	112040	27,8462	25,8763	19,61	35	13	1320,5
18000	719,995	17,4227	974,4739	16,188	375,5	12,8	47,0692	15,4084	0	2	8	43,8	82,7	112041	28,2384	26,2707	20,0022	35	12	1292,5
18500	720,495	17,4227	974,4739	16,188	375,5	12,8	47,0692	15,4084	0	2	8	43,8	82	112041	29,415	27,447	20,3944	36	12	1275
19000	720,995	17,3987	973,9939	16,188	375,5	12,8	47,0692	15,4085	0	2	7	43,8	82	112042	29,415	27,447	21,571	36	12	1280
19500	721,495	17,3987	974,2339	16,188	375,5	12,7	47,0692	15,4085	0	2	7	43,8	82,8	112042	30,5916	27,8391	21,9632	36	12	1280
20000	721,995	17,3987	974,4739	16,2169	375,5	12,7	47,0692	15,4085	0	2	6	43,8	82,8	112043	31,376	27,447	21,9632	36	12	1279,5
20500	722,495	17,3987	973,9939	16,188	375,5	12,7	47,0692	15,4085	0	2	6	43,8	83,5	112043	31,7682	27,447	21,9632	36	12	1306
21000	722,995	17,4227	974,2339	16,2169	375,5	12,7	47,0692	15,4086	0	2	7	43,8	83,5	112044	30,9838	27,447	21,571	36	13	1365,5
21500	723,495	17,3747	974,4739	16,1304	375,5	13	47,0692	15,4086	0	2	7	43,8	83,8	112044	30,9838	27,447	20,0022	36	14	1427,5
22000	723,995	17,3747	974,2339	16,1304	375,4	13	47,0692	15,4086	0	2	7	43,8	83,8	112045	29,8072	27,447	20,0022	36	14	1427,5
22500	724,495	17,3747	974,2339	16,1017	375,4	13,5	47,0692	15,4086	0	2	7	43,8	84,6	112045	28,6306	26,6628	18,8256	36	14	1443
23000	724,995	17,3747	974,4739	16,1304	375,2	13,5	47,0692	15,4087	0	2	8	43,8	84,6	112046	27,8462	26,6628	18,0412	37	14	1448,5
